word,POS
anerkjenne,V
anmode,V
anskaffe,V
arbeide,V
auke,V
avbyråkratisere,V
avgrense,V
avholde,V
avklare,V
avlaste,V
avlyse,V
avsette,V
avskaffe,V
avslutte,V
avslå,V
avstå,V
avvente,V
avvikle,V
avvise,V
be,V
behalda,V
behandle,V
beholde,V
bekjempe,V
benytte,V
beregne,V
betale,V
bevare,V
bevilge,V
bidra,V
bistå,V
bruke,V
bygge,V
definere,V
dele,V
delegere,V
delta,V
effektivisere,V
endre,V
erstatte,V
etablere,V
etterbetale,V
evaluere,V
fase,V
fasilitere,V
fastholde,V
fastsette,V
fastslå,V
ferdigstille,V
finne,V
fjerna,V
fjerne,V
flytte,V
forbedre,V
forberede,V
forby,V
fordele,V
fordømme,V
forelegge,V
forenkle,V
foreslå,V
foreta,V
forhandle,V
forlenge,V
forplikte,V
forsere,V
forsikre,V
forskriftsfeste,V
forsterke,V
fortsette,V
framlegge,V
framskunde,V
framskynde,V
fremje,V
fremlegge,V
fremme,V
fremsette,V
fremskynde,V
frita,V
fryse,V
fråråde,V
fullføre,V
fylgje,V
følge,V
følgje,V
føre,V
føreslå,V
få,V
gi,V
gjenetablere,V
gjeninnføre,V
gjennomføra,V
gjennomføre,V
gjennomgå,V
gjenopprette,V
gjenoppta,V
gjenåpne,V
gjøre,V
godkjenne,V
granske,V
greie,V
gå,V
ha,V
halda,V
halvere,V
henlegge,V
henvise,V
heve,V
hindre,V
holde,V
høste,V
håndheve,V
igangsette,V
implementere,V
imøtekomme,V
informere,V
inkludere,V
inkorporere,V
innarbeide,V
innføre,V
inngå,V
innhente,V
innlede,V
innlemme,V
innrette,V
innskrenke,V
innstifte,V
innta,V
instruere,V
intensivere,V
investere,V
invitere,V
involvere,V
ivareta,V
iverksette,V
jobbe,V
justere,V
kartlegge,V
klargjøre,V
knytte,V
koma,V
kome,V
komme,V
kompensere,V
konkretisere,V
konsekvensutrede,V
konsultere,V
konvertere,V
kreve,V
kutte,V
la,V
lage,V
legga,V
legge,V
leggje,V
levere,V
likebehandle,V
likestille,V
løfte,V
markere,V
medverka,V
medvirke,V
melde,V
målrette,V
nedfelle,V
nedjustere,V
nedsette,V
nedskalere,V
offentleggjera,V
offentliggjøre,V
omdisponere,V
omgjøre,V
omklassifisere,V
omorganisere,V
omprioritere,V
oppdatere,V
oppfordre,V
oppgi,V
oppheve,V
oppnevne,V
opprette,V
oppretthalda,V
opprettholde,V
orientere,V
overføre,V
oversende,V
peke,V
planlegge,V
plassere,V
praktisere,V
presisere,V
prioritere,V
prisjustere,V
påby,V
pålegge,V
påse,V
rapportere,V
redegjøre,V
redusere,V
reetablere,V
reforhandle,V
regulere,V
respektere,V
restaurere,V
rette,V
rettighetsfeste,V
reversere,V
revidere,V
revurdere,V
rulle,V
rullere,V
ruste,V
rydde,V
samkjøre,V
samle,V
samlokalisere,V
sammenstille,V
satse,V
se,V
sende,V
senke,V
setja,V
setje,V
setta,V
sette,V
si,V
sikre,V
sjå,V
skaffe,V
skalere,V
skjerme,V
skjerpe,V
skrinlegge,V
skrote,V
slutte,V
sluttføre,V
slå,V
snu,V
spesifisere,V
stansa,V
stanse,V
starte,V
stenge,V
stilla,V
stille,V
stimulere,V
stoppe,V
stramme,V
styrka,V
styrke,V
støtte,V
synliggjøre,V
syte,V
søke,V
sørga,V
sørge,V
sørgje,V
ta,V
takke,V
teste,V
tidsbegrense,V
tilby,V
tildele,V
tilføre,V
tilføye,V
tilgjengeliggjøre,V
tillate,V
tilpasse,V
tilrettelegge,V
tilse,V
tilslutte,V
tolka,V
tolke,V
totalforby,V
totalfrede,V
trappe,V
treffe,V
trekke,V
tydeliggjøre,V
underlegge,V
undersøke,V
unnta,V
utarbeida,V
utarbeide,V
utbedre,V
utbetale,V
utelukke,V
utfordre,V
utforme,V
utforske,V
utføre,V
utgreie,V
utlyse,V
utnytte,V
utrede,V
utsetje,V
utsette,V
utvide,V
utvikle,V
utøve,V
varsle,V
vedta,V
vektlegge,V
vente,V
verne,V
vidareføre,V
videreføre,V
videreutvikle,V
vurdere,V
øke,V
øremerke,V
øyremerka,V
åpne,V
stå,V
registrere,V
begynne,V
anbefale,V
forhindre,V
vise,V
å,V
at,V
ikke,V
