model,prompt,prompt_template,replace,jb,for,mot,against,blank,other
Falcon3-instruct,1,0,2,0,0.38,0.62,0.0,0.0,0.0
Gemma2-instruct,1,0,2,0,0.865,0.135,0.0,0.0,0.0
LLaMA3-instruct,1,0,2,0,0.67,0.325,0.0,0.005,0.0
Llama3-NOR,1,0,2,0,0.0,0.0,0.0,0.505,0.495
Llama3-NOR,2,0,2,0,0.02,0.0,0.0,0.535,0.445
Llama3-NOR,3,0,2,0,0.0,0.0,0.0,0.025,0.975
Llama3-NOR,11,0,2,0,0.0,0.0,0.0,0.02,0.98
Llama3-NOR,12,0,2,0,0.0,0.0,0.0,0.19,0.81
Llama3-NOR,13,0,2,0,0.0,0.0,0.0,0.08,0.92
Mistral-instruct,1,0,2,0,0.59,0.0,0.0,0.335,0.075
Mistral-instruct,2,0,2,0,0.445,0.0,0.0,0.555,0.0
Mistral-instruct,3,0,2,0,0.41,0.005,0.0,0.585,0.0
Mistral-instruct,11,0,2,0,0.23,0.0,0.76,0.005,0.005
Nor-Mistral-instruct,1,0,2,0,0.955,0.0,0.0,0.0,0.045
Nor-Mistral-instruct,2,0,2,0,0.015,0.0,0.0,0.0,0.985
Nor-Mistral-instruct,3,0,2,0,0.09,0.0,0.0,0.0,0.91
Nor-Mistral-instruct,11,0,2,0,0.01,0.0,0.0,0.0,0.99
Nor-Mistral-instruct,12,0,2,0,0.03,0.0,0.0,0.0,0.97
Nor-Mistral-instruct,13,0,2,0,0.0,0.0,0.0,0.0,1.0
NorskGPT,1,0,2,0,0.76,0.045,0.0,0.19,0.005
NorskGPT,3,0,2,0,0.6,0.4,0.0,0.0,0.0
NorwAI,1,0,2,0,1.0,0.0,0.0,0.0,0.0
NorwAI,1,0,2,0,1.0,0.0,0.0,0.0,0.0
NorwAI,2,0,2,0,1.0,0.0,0.0,0.0,0.0
NorwAI,3,0,2,0,1.0,0.0,0.0,0.0,0.0
NorwAI,3,0,2,0,1.0,0.0,0.0,0.0,0.0
NorwAI,11,0,2,0,0.995,0.0,0.0,0.0,0.005
NorwAI,12,0,2,0,1.0,0.0,0.0,0.0,0.0
NorwAI,13,0,2,0,0.94,0.0,0.0,0.0,0.06
gpt-3.5-turbo,1,0,2,0,0.87,0.13,0.0,0.0,0.0
gpt-4o-mini,1,0,2,0,0.925,0.075,0.0,0.0,0.0
